id,slug,type,nom,categorie,description,prix_fcfa,unite,image_url,image_url_2,image_url_3,disponible,ordre,composition,livraison_gratuite,note
"pack-premium","pack-premium","pack","Pack Premium","Pack","Le grand pack pour tenir le mois : tout ce qu'il faut pour cuisiner et recevoir sans courir au marché.",72000,"pack","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/pack-premium.jpg","","","oui",1,"Sac riz Umbrella 25 kg\nHuile 5 L\nVinaigre\nSac d'oignons\nPommes de terre 5 kg\nSucre en poudre 3 kg\nAil 1 kg\nVermicelle / Spaghetti\nMoukhamsa\nCouscous 1 kg\nPetits pois Avril (ou équivalent)\nLentilles\nHaricots verts Larroche\nLaicran\nNescafé 100 g\nTomatina 800 g\nNutella 1 kg\nMoutarde Dijon 1 kg\nPinthon\nCorn Flakes\nRiz basmati 5 kg\nNesquik\nCorned beef","oui",""
"pack-complet","pack-complet","pack","Pack Complet","Pack","La sélection équilibrée pour la cuisine quotidienne d'une famille à Dakar.",50000,"pack","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/pack-complet.jpg","","","oui",2,"Riz Prestige 25 kg\nHuile 5 L\nTomate Dieg Bou Diar grand modèle\nVinaigre Adja 1 L\nMoutarde Reine grand modèle\nOignons (½ sac)\nPommes de terre (½ sac)\nSucre en poudre 1 kg\nAil\nVermicelles 500 g\nSpaghettis 250 g\nMoukhamsa\nCouscous Kayna 1 kg\nSucre Souki\nPetit pois grand modèle (ou équivalent)\nLentilles\nHaricots verts\nLaicran 400 g\nVescafé 100 g\nChocolat 500 g\nMadar 1 L","oui",""
"pack-simple","pack-simple","pack","Pack Simple","Pack","Le pack essentiel à petit prix : les fondamentaux pour cuisiner toute la semaine.",30000,"pack","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/pack-simple.jpg","","","oui",3,"Sac de riz 25 kg\nHuile 5 L\nTomate Dieg 800 g\nSucre J'adore 1 kg\nMoutarde Reine\nVinaigre 1 L\nOignons 3 kg\nPommes de terre 3 kg\nPetits pois 800 g (ou équivalent)\nMacaroni\nBeurre Jadida\nMoukhamsa\nCouscous Kayna 500 g\nSpaghetti","oui",""
"riz-sangomar-25","riz-sangomar-25kg","produit","Riz parfumé Sangomar 25 kg","Épicerie sèche","Riz jasmine parfumé origine Thaïlande. Le sac familial pour le mois.",18000,"sac","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/riz-sangomar.jpg","","","oui",10,"","non",""
"huile-mis-5","huile-mis-5l","produit","Huile MIS Tournesol 5 L","Épicerie sèche","Huile de tournesol raffinée enrichie en vitamines A et D.",9500,"L","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/huile-mis.jpg","","","oui",11,"","non",""
"sucre-beghin-1","sucre-beghin-1kg","produit","Sucre Béghin Say morceaux 1 kg","Épicerie sèche","Sucre n°4 en morceaux. Cultivé et conditionné en France.",2500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/sucre-beghin.jpg","","","oui",12,"","non",""
"sucre-vanilline","sucre-vanilline","produit","Sucre vanilliné Le Gourmet","Épicerie sèche","Pour parfumer vos pâtisseries et boissons.",1200,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/sucre-vanilline.jpg","","","oui",13,"","non",""
"lait-gloria-370","lait-gloria-370g","produit","Lait évaporé Gloria 370 g","Épicerie sèche","Lait évaporé Nestlé Gloria fortifié vitamine D.",1100,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/lait-gloria.jpg","","","oui",14,"","non",""
"lasagne-barilla","lasagne-barilla","produit","Lasagnes Barilla 454 g","Épicerie sèche","Pâtes lasagnes classiques Barilla pour un plat familial.",3500,"boîte","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/lasagne-barilla.jpg","","","oui",15,"","non",""
"petit-plomb-kayna","petit-plomb-kayna-250g","produit","Petit plomb Kayna 250 g","Épicerie sèche","Pâtes fines à la semoule de blé dur.",750,"lot","https://res.cloudinary.com/dnqev5lr6/image/upload/f_auto,q_auto/keur-bally/petit-plomb-kayna.jpg","","","oui",16,"","non",""
